population,replicate,antibiotic,MIC,paired_ID
Ancestor,1,CFZ,0.375,1
Ancestor,2,CFZ,0.375,2
Ancestor,3,CFZ,0.375,3
Ancestor,4,CFZ,0.375,4
Ancestor,5,CFZ,0.5,5
Ancestor,6,CFZ,0.375,6
Ancestor,7,CFZ,0.375,7
Ancestor,8,CFZ,0.5,8
Ancestor,1,CLI,0.09375,9
Ancestor,2,CLI,0.09375,10
Ancestor,3,CLI,0.09375,11
Ancestor,4,CLI,0.09375,12
Ancestor,5,CLI,0.09375,13
Ancestor,6,CLI,0.09375,14
Ancestor,7,CLI,0.09375,15
Ancestor,8,CLI,0.09375,16
Ancestor,1,DAP,0.25,17
Ancestor,2,DAP,0.25,18
Ancestor,3,DAP,0.5,19
Ancestor,4,DAP,0.25,20
Ancestor,5,DAP,0.5,21
Ancestor,6,DAP,0.5,22
Ancestor,7,DAP,0.5,23
Ancestor,8,DAP,0.25,24
Ancestor,1,GEN,0.5,25
Ancestor,2,GEN,0.5,26
Ancestor,3,GEN,0.375,27
Ancestor,4,GEN,0.5,28
Ancestor,5,GEN,0.375,29
Ancestor,6,GEN,0.625,30
Ancestor,7,GEN,0.375,31
Ancestor,8,GEN,0.5,32
Ancestor,1,MEM,0.125,33
Ancestor,2,MEM,0.125,34
Ancestor,3,MEM,0.09375,35
Ancestor,4,MEM,0.125,36
Ancestor,5,MEM,0.15625,37
Ancestor,6,MEM,0.125,38
Ancestor,7,MEM,0.125,39
Ancestor,8,MEM,0.125,40
Ancestor,1,NAF,0.5,41
Ancestor,2,NAF,0.5,42
Ancestor,3,NAF,0.5,43
Ancestor,4,NAF,1.5,44
Ancestor,5,NAF,1,45
Ancestor,6,NAF,0.5,46
Ancestor,7,NAF,0.5,47
Ancestor,8,NAF,1,48
Ancestor,1,TMP/SMX,0.5,49
Ancestor,2,TMP/SMX,0.5,50
Ancestor,3,TMP/SMX,0.5,51
Ancestor,4,TMP/SMX,0.5,52
Ancestor,5,TMP/SMX,0.5,53
Ancestor,6,TMP/SMX,0.5,54
Ancestor,7,TMP/SMX,0.5,55
Ancestor,8,TMP/SMX,0.5,56
Ancestor,1,VAN,1,57
Ancestor,2,VAN,1,58
Ancestor,3,VAN,1,59
Ancestor,4,VAN,1,60
Ancestor,5,VAN,1,61
Ancestor,6,VAN,1,62
Ancestor,7,VAN,1,63
Ancestor,8,VAN,1,64
1,1,CFZ,0.25,1
1,2,CFZ,0.25,1
1,3,CFZ,0.25,1
2,1,CFZ,0.5,1
2,2,CFZ,0.5,1
2,3,CFZ,0.5,1
3,1,CFZ,0.75,1
3,2,CFZ,0.75,2
3,3,CFZ,0.75,2
4,1,CFZ,0.25,2
4,2,CFZ,0.25,2
4,3,CFZ,0.25,2
5,1,CFZ,0.5,2
5,2,CFZ,0.5,2
5,3,CFZ,0.5,3
6,1,CFZ,0.25,3
6,2,CFZ,0.25,3
6,3,CFZ,0.25,3
7,1,CFZ,0.125,3
7,2,CFZ,0.125,3
7,3,CFZ,0.125,3
8,1,CFZ,0.75,4
8,2,CFZ,0.75,4
8,3,CFZ,0.375,4
9,1,CFZ,0.375,4
9,2,CFZ,0.5,4
9,3,CFZ,0.5,4
10,1,CFZ,0.5,4
10,2,CFZ,0.5,5
10,3,CFZ,0.5,5
11,1,CFZ,0.5,5
11,2,CFZ,0.5,5
11,3,CFZ,0.5,5
12,1,CFZ,0.5,5
12,2,CFZ,0.75,5
12,3,CFZ,0.5,6
13,1,CFZ,0.75,6
13,2,CFZ,0.75,6
13,3,CFZ,0.75,6
14,1,CFZ,0.5,6
14,2,CFZ,0.5,6
14,3,CFZ,0.5,6
15,1,CFZ,0.375,7
15,2,CFZ,0.5,7
15,3,CFZ,0.5,7
16,1,CFZ,0.25,7
16,2,CFZ,0.25,7
16,3,CFZ,0.25,7
17,1,CFZ,0.375,7
17,2,CFZ,0.375,8
17,3,CFZ,0.375,8
18,1,CFZ,0.5,8
18,2,CFZ,0.5,8
18,3,CFZ,0.5,8
1,1,CLI,0.09375,9
1,2,CLI,0.09375,9
1,3,CLI,0.09375,9
2,1,CLI,0.0625,9
2,2,CLI,0.0625,9
2,3,CLI,0.0625,9
3,1,CLI,0.09375,9
3,2,CLI,0.09375,10
3,3,CLI,0.09375,10
4,1,CLI,0.0625,10
4,2,CLI,0.0625,10
4,3,CLI,0.0625,10
5,1,CLI,0.09375,10
5,2,CLI,0.09375,10
5,3,CLI,0.09375,11
6,1,CLI,0.09375,11
6,2,CLI,0.09375,11
6,3,CLI,0.09375,11
7,1,CLI,0.0625,11
7,2,CLI,0.0625,11
7,3,CLI,0.0625,11
8,1,CLI,0.0625,12
8,2,CLI,0.0625,12
8,3,CLI,0.0625,12
9,1,CLI,0.0625,12
9,2,CLI,0.0625,12
9,3,CLI,0.0625,12
10,1,CLI,0.03125,12
10,2,CLI,0.03125,13
10,3,CLI,0.03125,13
11,1,CLI,0.09375,13
11,2,CLI,0.09375,13
11,3,CLI,0.09375,13
12,1,CLI,0.0625,13
12,2,CLI,0.0625,13
12,3,CLI,0.0625,14
13,1,CLI,0.09375,14
13,2,CLI,0.09375,14
13,3,CLI,0.09375,14
14,1,CLI,0.09375,14
14,2,CLI,0.09375,14
14,3,CLI,0.09375,14
15,1,CLI,0.0625,15
15,2,CLI,0.09375,15
15,3,CLI,0.09375,15
16,1,CLI,0.03125,15
16,2,CLI,0.09375,15
16,3,CLI,0.09375,15
17,1,CLI,0.09375,15
17,2,CLI,0.09375,16
17,3,CLI,0.09375,16
18,1,CLI,0.09375,16
18,2,CLI,0.09375,16
18,3,CLI,0.09375,16
1,1,DAP,2,17
1,2,DAP,2,17
1,3,DAP,2,17
2,1,DAP,1.5,17
2,2,DAP,1.5,17
2,3,DAP,1.5,17
3,1,DAP,1.5,17
3,2,DAP,1,18
3,3,DAP,1,18
4,1,DAP,0.75,18
4,2,DAP,0.75,18
4,3,DAP,0.75,18
5,1,DAP,0.75,18
5,2,DAP,0.75,18
5,3,DAP,0.75,19
6,1,DAP,1,19
6,2,DAP,1,19
6,3,DAP,1,19
7,1,DAP,0.5,19
7,2,DAP,0.5,19
7,3,DAP,0.5,19
8,1,DAP,1,20
8,2,DAP,1,20
8,3,DAP,1,20
9,1,DAP,0.5,20
9,2,DAP,0.5,20
9,3,DAP,0.5,20
10,1,DAP,3,20
10,2,DAP,1.5,21
10,3,DAP,1.5,21
11,1,DAP,1.5,21
11,2,DAP,1.5,21
11,3,DAP,1.5,21
12,1,DAP,2,21
12,2,DAP,2,21
12,3,DAP,1.5,22
13,1,DAP,3,22
13,2,DAP,3,22
13,3,DAP,3,22
14,1,DAP,1.5,22
14,2,DAP,1.5,22
14,3,DAP,1.5,22
15,1,DAP,1.5,23
15,2,DAP,1.5,23
15,3,DAP,1.5,23
16,1,DAP,0.5,23
16,2,DAP,0.5,23
16,3,DAP,5,23
17,1,DAP,1.5,23
17,2,DAP,0.75,24
17,3,DAP,0.75,24
18,1,DAP,1,24
18,2,DAP,1,24
18,3,DAP,1,24
1,1,GEN,0.25,25
1,2,GEN,0.25,25
1,3,GEN,0.25,25
2,1,GEN,0.125,25
2,2,GEN,0.125,25
2,3,GEN,0.125,25
3,1,GEN,0.125,25
3,2,GEN,0.125,26
3,3,GEN,0.125,26
4,1,GEN,1,26
4,2,GEN,1,26
4,3,GEN,1,26
5,1,GEN,0.25,26
5,2,GEN,0.25,26
5,3,GEN,0.25,27
6,1,GEN,0.25,27
6,2,GEN,0.25,27
6,3,GEN,0.25,27
7,1,GEN,0.5,27
7,2,GEN,0.5,27
7,3,GEN,0.5,27
8,1,GEN,0.125,28
8,2,GEN,0.125,28
8,3,GEN,0.125,28
9,1,GEN,0.375,28
9,2,GEN,0.25,28
9,3,GEN,0.25,28
10,1,GEN,0.25,28
10,2,GEN,0.25,29
10,3,GEN,0.25,29
11,1,GEN,0.25,29
11,2,GEN,0.25,29
11,3,GEN,0.25,29
12,1,GEN,0.75,29
12,2,GEN,0.75,29
12,3,GEN,0.75,30
13,1,GEN,0.25,30
13,2,GEN,0.25,30
13,3,GEN,0.25,30
14,1,GEN,0.375,30
14,2,GEN,0.375,30
14,3,GEN,0.375,30
15,1,GEN,0.5,31
15,2,GEN,0.375,31
15,3,GEN,0.375,31
16,1,GEN,2,31
16,2,GEN,2,31
16,3,GEN,2,31
17,1,GEN,1.5,31
17,2,GEN,1.5,32
17,3,GEN,1.5,32
18,1,GEN,0.5,32
18,2,GEN,0.5,32
18,3,GEN,0.5,32
1,1,MEM,0.09375,33
1,2,MEM,0.09375,33
1,3,MEM,0.09375,33
2,1,MEM,0.09375,33
2,2,MEM,0.09375,33
2,3,MEM,0.09375,33
3,1,MEM,0.21875,33
3,2,MEM,0.21875,34
3,3,MEM,0.21875,34
4,1,MEM,0.0625,34
4,2,MEM,0.0625,34
4,3,MEM,0.0625,34
5,1,MEM,0.125,34
5,2,MEM,0.125,34
5,3,MEM,0.09375,35
6,1,MEM,0.125,35
6,2,MEM,0.125,35
6,3,MEM,0.125,35
7,1,MEM,0.03125,35
7,2,MEM,0.03125,35
7,3,MEM,0.03125,35
8,1,MEM,0.125,36
8,2,MEM,0.1875,36
8,3,MEM,0.1875,36
9,1,MEM,0.1875,36
9,2,MEM,0.125,36
9,3,MEM,0.125,36
10,1,MEM,0.21875,36
10,2,MEM,0.21875,37
10,3,MEM,0.21875,37
11,1,MEM,0.125,37
11,2,MEM,0.125,37
11,3,MEM,0.125,37
12,1,MEM,0.15625,37
12,2,MEM,0.15625,37
12,3,MEM,0.125,38
13,1,MEM,0.125,38
13,2,MEM,0.125,38
13,3,MEM,0.125,38
14,1,MEM,0.0625,38
14,2,MEM,0.0625,38
14,3,MEM,0.0625,38
15,1,MEM,0.09375,39
15,2,MEM,0.09375,39
15,3,MEM,0.09375,39
16,1,MEM,0.03125,39
16,2,MEM,0.03125,39
16,3,MEM,0.03125,39
17,1,MEM,0.0625,39
17,2,MEM,0.0625,40
17,3,MEM,0.0625,40
18,1,MEM,0.15625,40
18,2,MEM,0.15625,40
18,3,MEM,0.15625,40
1,1,NAF,0.5,41
1,2,NAF,0.5,41
1,3,NAF,0.5,41
2,1,NAF,0.5,41
2,2,NAF,0.5,41
2,3,NAF,0.5,41
3,1,NAF,1,41
3,2,NAF,1,42
3,3,NAF,1,42
4,1,NAF,0.25,42
4,2,NAF,0.25,42
4,3,NAF,0.25,42
5,1,NAF,0.25,42
5,2,NAF,0.5,42
5,3,NAF,0.5,43
6,1,NAF,0.25,43
6,2,NAF,0.25,43
6,3,NAF,0.25,43
7,1,NAF,0.125,43
7,2,NAF,0.125,43
7,3,NAF,0.125,43
8,1,NAF,1,44
8,2,NAF,1,44
8,3,NAF,1,44
9,1,NAF,0.5,44
9,2,NAF,0.5,44
9,3,NAF,0.5,44
10,1,NAF,1,44
10,2,NAF,1,45
10,3,NAF,1,45
11,1,NAF,0.5,45
11,2,NAF,0.5,45
11,3,NAF,0.5,45
12,1,NAF,0.5,45
12,2,NAF,0.5,45
12,3,NAF,1,46
13,1,NAF,1,46
13,2,NAF,1,46
13,3,NAF,1,46
14,1,NAF,0.5,46
14,2,NAF,0.5,46
14,3,NAF,0.5,46
15,1,NAF,0.25,47
15,2,NAF,0.25,47
15,3,NAF,0.25,47
16,1,NAF,0.125,47
16,2,NAF,0.125,47
16,3,NAF,0.125,47
17,1,NAF,0.25,47
17,2,NAF,0.25,48
17,3,NAF,0.25,48
18,1,NAF,1,48
18,2,NAF,1,48
18,3,NAF,1,48
1,1,TMP/SMX,0.5,49
1,2,TMP/SMX,0.5,49
1,3,TMP/SMX,0.5,49
2,1,TMP/SMX,0.5,49
2,2,TMP/SMX,0.5,49
2,3,TMP/SMX,0.5,49
3,1,TMP/SMX,0.5,49
3,2,TMP/SMX,0.5,50
3,3,TMP/SMX,0.5,50
4,1,TMP/SMX,0.5,50
4,2,TMP/SMX,0.5,50
4,3,TMP/SMX,0.5,50
5,1,TMP/SMX,1,50
5,2,TMP/SMX,1,50
5,3,TMP/SMX,1,51
6,1,TMP/SMX,0.5,51
6,2,TMP/SMX,0.5,51
6,3,TMP/SMX,0.5,51
7,1,TMP/SMX,0.75,51
7,2,TMP/SMX,0.75,51
7,3,TMP/SMX,0.75,51
8,1,TMP/SMX,0.75,52
8,2,TMP/SMX,0.75,52
8,3,TMP/SMX,0.75,52
9,1,TMP/SMX,0.5,52
9,2,TMP/SMX,0.5,52
9,3,TMP/SMX,0.5,52
10,1,TMP/SMX,0.75,52
10,2,TMP/SMX,0.75,53
10,3,TMP/SMX,0.75,53
11,1,TMP/SMX,0.75,53
11,2,TMP/SMX,0.75,53
11,3,TMP/SMX,0.75,53
12,1,TMP/SMX,0.5,53
12,2,TMP/SMX,0.5,53
12,3,TMP/SMX,0.5,54
13,1,TMP/SMX,0.5,54
13,2,TMP/SMX,0.5,54
13,3,TMP/SMX,0.5,54
14,1,TMP/SMX,0.5,54
14,2,TMP/SMX,0.5,54
14,3,TMP/SMX,0.5,54
15,1,TMP/SMX,0.5,55
15,2,TMP/SMX,0.5,55
15,3,TMP/SMX,0.5,55
16,1,TMP/SMX,0.5,55
16,2,TMP/SMX,0.5,55
16,3,TMP/SMX,0.5,55
17,1,TMP/SMX,0.75,55
17,2,TMP/SMX,0.75,56
17,3,TMP/SMX,0.75,56
18,1,TMP/SMX,0.75,56
18,2,TMP/SMX,0.75,56
18,3,TMP/SMX,0.75,56
1,1,VAN,3,57
1,2,VAN,3,57
1,3,VAN,3,57
2,1,VAN,3,57
2,2,VAN,3,57
2,3,VAN,3,57
3,1,VAN,2,57
3,2,VAN,2,58
3,3,VAN,2,58
4,1,VAN,2,58
4,2,VAN,2,58
4,3,VAN,2,58
5,1,VAN,2,58
5,2,VAN,3,58
5,3,VAN,2,59
6,1,VAN,2,59
6,2,VAN,2,59
6,3,VAN,2,59
7,1,VAN,1.5,59
7,2,VAN,1.5,59
7,3,VAN,1.5,59
8,1,VAN,3,60
8,2,VAN,3,60
8,3,VAN,3,60
9,1,VAN,1.5,60
9,2,VAN,1.5,60
9,3,VAN,1.5,60
10,1,VAN,3,60
10,2,VAN,3,61
10,3,VAN,3,61
11,1,VAN,3,61
11,2,VAN,3,61
11,3,VAN,3,61
12,1,VAN,3,61
12,2,VAN,3,61
12,3,VAN,3,62
13,1,VAN,3,62
13,2,VAN,3,62
13,3,VAN,3,62
14,1,VAN,4,62
14,2,VAN,4,62
14,3,VAN,4,62
15,1,VAN,4,63
15,2,VAN,4,63
15,3,VAN,4,63
16,1,VAN,2,63
16,2,VAN,2,63
16,3,VAN,2,63
17,1,VAN,2,63
17,2,VAN,2,64
17,3,VAN,3,64
18,1,VAN,2,64
18,2,VAN,2,64
18,3,VAN,2,64
