ID,Cluster
C1,Cluster-1
C10,Cluster-2
C11,Cluster-3
C12,Cluster-1
C13,Cluster-1
C14,Cluster-1
C15,Cluster-1
C16,Cluster-1
C17,Cluster-1
C18,Cluster-1
C19,Cluster-2
C2,Cluster-3
C20,Cluster-3
C21,Cluster-4
C22,Cluster-3
C23,Cluster-1
C24,Cluster-1
C25,Cluster-1
C26,Cluster-1
C27,Cluster-3
C28,Cluster-1
C29,Cluster-3
C3,Cluster-3
C30,Cluster-5
C31,Cluster-3
C32,Cluster-2
C33,Cluster-1
C34,Cluster-3
C35,Cluster-1
C36,Cluster-1
C37,Cluster-5
C38,Cluster-1
C39,Cluster-5
C4,Cluster-1
C40,Cluster-1
C41,Cluster-1
C42,Cluster-4
C43,Cluster-2
C44,Cluster-2
C45,Cluster-4
C46,Cluster-4
C47,Cluster-3
C48,Cluster-1
C49,Cluster-3
C5,Cluster-1
C50,Cluster-3
C51,Cluster-2
C52,Cluster-2
C53,Cluster-5
C54,Cluster-2
C55,Cluster-1
C56,Cluster-1
C57,Cluster-1
C58,Cluster-4
C59,Cluster-1
C6,Cluster-3
C60,Cluster-1
C61,Cluster-2
C62,Cluster-1
C63,Cluster-1
C64,Cluster-3
C65,Cluster-3
C66,Cluster-1
C67,Cluster-3
C68,Cluster-1
C69,Cluster-3
C7,Cluster-3
C70,Cluster-3
C71,Cluster-1
C72,Cluster-1
C73,Cluster-2
C74,Cluster-1
C75,Cluster-1
C76,Cluster-1
C77,Cluster-1
C78,Cluster-1
C79,Cluster-1
C8,Cluster-1
C80,Cluster-5
C81,Cluster-1
C82,Cluster-1
C83,Cluster-1
C84,Cluster-4
C85,Cluster-1
C86,Cluster-3
C87,Cluster-2
C9,Cluster-5
