population,day,MIC
1,1,1
2,1,1.5
3,1,1.5
4,1,1
5,1,1.5
6,1,1.5
7,1,1.5
8,1,1
9,1,1
10,1,1.5
11,1,1.5
12,1,1.5
13,1,1
14,1,1
15,1,1.5
16,1,1
17,1,1.5
18,1,1.5
1,2,1.5
2,2,2
3,2,2.5
4,2,1
5,2,2
6,2,1.5
7,2,2
8,2,1
9,2,1.5
10,2,2
11,2,1.5
12,2,2.5
13,2,1
14,2,1.5
15,2,2.5
16,2,1.5
17,2,2.5
18,2,2
1,3,2.5
2,3,2.5
3,3,3
4,3,1.5
5,3,2
6,3,2
7,3,3
8,3,1.5
9,3,2
10,3,2
11,3,2.5
12,3,3
13,3,1.5
14,3,2.5
15,3,3.5
16,3,2
17,3,2.5
18,3,2.5
1,4,3
2,4,3.5
3,4,4
4,4,2
5,4,3
6,4,2.5
7,4,3
8,4,2
9,4,3
10,4,2.5
11,4,3.5
12,4,3.5
13,4,2.5
14,4,3.5
15,4,3.5
16,4,3
17,4,3
18,4,2.5
1,5,3.5
2,5,3.5
3,5,4
4,5,2
5,5,3.5
6,5,3
7,5,4
8,5,2
9,5,3
10,5,3
11,5,4
12,5,3.5
13,5,2.5
14,5,5
15,5,4
16,5,3.5
17,5,3.5
18,5,2.5
1,6,5
2,6,6
3,6,4
4,6,3
5,6,4.5
6,6,3
7,6,4
8,6,3
9,6,3
10,6,3.5
11,6,4
12,6,3.5
13,6,2.5
14,6,5
15,6,4
16,6,4
17,6,3.5
18,6,3.5
1,7,5
2,7,6
3,7,3.5
4,7,3.5
5,7,5
6,7,4
7,7,4
8,7,3.5
9,7,3
10,7,5
11,7,5
12,7,4
13,7,2.5
14,7,-
15,7,5
16,7,4
17,7,4
18,7,4
1,8,-
2,8,-
3,8,4
4,8,4
5,8,-
6,8,4
7,8,5
8,8,5
9,8,4
10,8,5
11,8,6
12,8,6
13,8,3
14,8,-
15,8,6
16,8,4
17,8,5
18,8,5
1,9,-
2,9,-
3,9,6
4,9,4
5,9,-
6,9,4
7,9,5
8,9,5
9,9,5
10,9,-
11,9,-
12,9,5
13,9,3.5
14,9,-
15,9,-
16,9,5
17,9,5
18,9,5
1,10,-
2,10,-
3,10,6
4,10,5
5,10,-
6,10,5
7,10,-
8,10,-
9,10,6
10,10,-
11,10,-
12,10,-
13,10,4
14,10,-
15,10,-
16,10,4
17,10,-
18,10,-
1,11,-
2,11,-
3,11,-
4,11,5
5,11,-
6,11,5
7,11,-
8,11,-
9,11,-
10,11,-
11,11,-
12,11,-
13,11,4
14,11,-
15,11,-
16,11,5
17,11,-
18,11,-
1,12,-
2,12,-
3,12,-
4,12,6
5,12,-
6,12,-
7,12,-
8,12,-
9,12,-
10,12,-
11,12,-
12,12,-
13,12,5
14,12,-
15,12,-
16,12,5
17,12,-
18,12,-
1,13,-
2,13,-
3,13,-
4,13,-
5,13,-
6,13,-
7,13,-
8,13,-
9,13,-
10,13,-
11,13,-
12,13,-
13,13,6
14,13,-
15,13,-
16,13,-
17,13,-
18,13,-
